"","Cercopithecus_mitis","Chlorocebus_pygerythrus","Erythrocebus_patas","Cheirogaleus_medius","Eulemur_fulvus_rufus","Eulemur_rubriventer","Hapalemur_griseus","Indri_indri","Lemur_catta","Lepilemur_ruficaudatus","Phaner_furcifer","Propithecus_verreauxi","Alouatta_caraya","Alouatta_seniculus","Brachyteles_arachnoides","Aotus_azarai","Cebus_capucinus","Saguinus_geoffroyi","Saguinus_mystax","Gorilla_beringei","Gorilla_gorilla_gorilla","Hylobates_lar","Hylobates_muelleri","Nomascus_concolor","Nomascus_gabriellae","Pan_paniscus","Pan_troglodytes_schweinfurthii","Pan_troglodytes_verus","Callicebus_donacophilus","Callicebus_moloch","Pithecia_pithecia","Macaca_assamensis","Macaca_fascicularis","Macaca_fuscata","Macaca_leonina","Macaca_mulatta","Macaca_nigra","Macaca_sinica","Macaca_sylvanus","Papio_anubis","Papio_cynocephalus","Papio_hamadryas","Papio_papio","Papio_ursinus","Theropithecus_gelada","Colobus_vellerosus","Rhinopithecus_roxellana","Semnopithecus_entellus","Trachypithecus_phayrei","Trachypithecus_poliocephalus","Tarsius_lariang"
"Cercopithecus_mitis",1,0.865099749265847,0.865099743340751,0,0,0,0,0,0,0,0,0,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.358768683251305,0.358768683251305,0.589058077173493,0.589058077173493,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058077173493,0.358768685708523,0.358768685708523,0.358768683251305,0.796238851437089,0.796238856890554,0.796238851437089,0.796238851437089,0.796238856890554,0.796238845983624,0.796238851437089,0.796238851437089,0.796238856890554,0.796238856890554,0.796238856890554,0.796238856890554,0.796238856890554,0.796238851437089,0.706719325585147,0.706719320744804,0.706719320744804,0.706719315904461,0.706719315904461,0.0570248471504994
"Chlorocebus_pygerythrus",0.865099749265847,1,0.881823455012343,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.358768688165741,0.358768688165741,0.358768685708523,0.796238856890554,0.79623886234402,0.796238856890554,0.796238856890554,0.79623886234402,0.796238851437089,0.796238856890554,0.796238856890554,0.79623886234402,0.79623886234402,0.79623886234402,0.79623886234402,0.79623886234402,0.796238856890554,0.70671933042549,0.706719325585147,0.706719325585147,0.706719320744804,0.706719320744804,0.0570248475410643
"Erythrocebus_patas",0.865099743340751,0.881823455012343,1,0,0,0,0,0,0,0,0,0,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.358768683251305,0.358768683251305,0.589058077173493,0.589058077173493,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058077173493,0.358768685708523,0.358768685708523,0.358768683251305,0.796238851437089,0.796238856890554,0.796238851437089,0.796238851437089,0.796238856890554,0.796238845983624,0.796238851437089,0.796238851437089,0.796238856890554,0.796238856890554,0.796238856890554,0.796238856890554,0.796238856890554,0.796238851437089,0.706719325585147,0.706719320744804,0.706719320744804,0.706719315904461,0.706719315904461,0.0570248471504993
"Cheirogaleus_medius",0,0,0,1,0.544337787133251,0.544337790861438,0.544337787133251,0.576101012373228,0.544337790861438,0.610576436861507,0.610576436861507,0.576101012373228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eulemur_fulvus_rufus",0,0,0,0.544337787133251,1,0.94310229025807,0.794260601664441,0.544337787133251,0.794260607104357,0.544337787133251,0.544337787133251,0.544337787133251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eulemur_rubriventer",0,0,0,0.544337790861438,0.94310229025807,1,0.794260607104357,0.544337790861438,0.794260612544273,0.544337790861438,0.544337790861438,0.544337790861438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hapalemur_griseus",0,0,0,0.544337787133251,0.794260601664441,0.794260607104357,1,0.544337787133251,0.87287487808295,0.544337787133251,0.544337787133251,0.544337787133251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indri_indri",0,0,0,0.576101012373228,0.544337787133251,0.544337790861438,0.544337787133251,1,0.544337790861438,0.576101012373228,0.576101012373228,0.713586741216462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lemur_catta",0,0,0,0.544337790861438,0.794260607104357,0.794260612544273,0.87287487808295,0.544337790861438,1,0.544337790861438,0.544337790861438,0.544337790861438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lepilemur_ruficaudatus",0,0,0,0.610576436861507,0.544337787133251,0.544337790861438,0.544337787133251,0.576101012373228,0.544337790861438,1,0.648110104819367,0.576101012373228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phaner_furcifer",0,0,0,0.610576436861507,0.544337787133251,0.544337790861438,0.544337787133251,0.576101012373228,0.544337790861438,0.648110104819367,1,0.576101012373228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propithecus_verreauxi",0,0,0,0.576101012373228,0.544337787133251,0.544337790861438,0.544337787133251,0.713586741216462,0.544337790861438,0.576101012373228,0.576101012373228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alouatta_caraya",0.358768685708523,0.358768688165741,0.358768685708523,0,0,0,0,0,0,0,0,0,1,0.960460936012262,0.797813290403967,0.707939466913961,0.707939466913961,0.70793946691396,0.70793946691396,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.688604956030722,0.688604956030722,0.688604951314445,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768688165741,0.358768683251305,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.0570248475410643
"Alouatta_seniculus",0.358768685708523,0.358768688165741,0.358768685708523,0,0,0,0,0,0,0,0,0,0.960460936012262,1,0.797813290403967,0.707939466913961,0.707939466913961,0.70793946691396,0.70793946691396,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.688604956030722,0.688604956030722,0.688604951314445,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768688165741,0.358768683251305,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.0570248475410643
"Brachyteles_arachnoides",0.358768685708523,0.358768688165741,0.358768685708523,0,0,0,0,0,0,0,0,0,0.797813290403967,0.797813290403967,1,0.707939466913961,0.707939466913961,0.70793946691396,0.70793946691396,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.688604956030722,0.688604956030722,0.688604951314445,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768688165741,0.358768683251305,0.358768685708523,0.358768685708523,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768688165741,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.0570248475410643
"Aotus_azarai",0.358768683251305,0.358768685708523,0.358768683251305,0,0,0,0,0,0,0,0,0,0.707939466913961,0.707939466913961,0.707939466913961,1,0.724771272815443,0.733058683504582,0.733058683504582,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.688604951314445,0.688604951314445,0.688604946598167,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768685708523,0.358768680794087,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768680794087,0.358768680794087,0.0570248471504994
"Cebus_capucinus",0.358768683251305,0.358768685708523,0.358768683251305,0,0,0,0,0,0,0,0,0,0.707939466913961,0.707939466913961,0.707939466913961,0.724771272815443,1,0.724771272815443,0.724771272815443,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.688604951314445,0.688604951314445,0.688604946598167,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768685708523,0.358768680794087,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768680794087,0.358768680794087,0.0570248471504994
"Saguinus_geoffroyi",0.358768683251305,0.358768685708523,0.358768683251305,0,0,0,0,0,0,0,0,0,0.70793946691396,0.70793946691396,0.70793946691396,0.733058683504582,0.724771272815443,1,0.867629145583691,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.688604951314445,0.688604951314445,0.688604946598167,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768685708523,0.358768680794087,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768680794087,0.358768680794087,0.0570248471504993
"Saguinus_mystax",0.358768683251305,0.358768685708523,0.358768683251305,0,0,0,0,0,0,0,0,0,0.70793946691396,0.70793946691396,0.70793946691396,0.733058683504582,0.724771272815443,0.867629145583691,1,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.688604951314445,0.688604951314445,0.688604946598167,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768685708523,0.358768680794087,0.358768683251305,0.358768683251305,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768685708523,0.358768683251305,0.358768683251305,0.358768680794087,0.358768680794087,0.0570248471504993
"Gorilla_beringei",0.589058077173493,0.589058081207971,0.589058077173493,0,0,0,0,0,0,0,0,0,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.358768683251305,0.358768683251305,1,0.964953285014145,0.731436509025993,0.731436509025993,0.731436509025993,0.731436509025993,0.881481167795822,0.881481167795822,0.881481161758529,0.358768685708523,0.358768685708523,0.358768683251305,0.589058077173493,0.589058081207971,0.589058077173493,0.589058077173493,0.589058081207971,0.589058073139016,0.589058077173493,0.589058077173493,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058077173493,0.589058081207971,0.589058077173493,0.589058077173493,0.589058073139016,0.589058073139016,0.0570248471504994
"Gorilla_gorilla_gorilla",0.589058077173493,0.589058081207971,0.589058077173493,0,0,0,0,0,0,0,0,0,0.358768685708523,0.358768685708523,0.358768685708523,0.358768683251305,0.358768683251305,0.358768683251305,0.358768683251305,0.964953285014145,1,0.731436509025993,0.731436509025993,0.731436509025993,0.731436509025993,0.881481167795822,0.881481167795822,0.881481161758529,0.358768685708523,0.358768685708523,0.358768683251305,0.589058077173493,0.589058081207971,0.589058077173493,0.589058077173493,0.589058081207971,0.589058073139016,0.589058077173493,0.589058077173493,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058081207971,0.589058077173493,0.589058081207971,0.589058077173493,0.589058077173493,0.589058073139016,0.589058073139016,0.0570248471504994
"Hylobates_lar",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.731436509025993,0.731436509025993,1,0.951659998494857,0.89934802421456,0.89934802421456,0.731436514035625,0.731436514035625,0.731436509025993,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
"Hylobates_muelleri",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.731436509025993,0.731436509025993,0.951659998494857,1,0.89934802421456,0.89934802421456,0.731436514035625,0.731436514035625,0.731436509025993,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
"Nomascus_concolor",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.731436509025993,0.731436509025993,0.89934802421456,0.89934802421456,1,0.972430660332426,0.731436514035625,0.731436514035625,0.731436509025993,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
"Nomascus_gabriellae",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.731436509025993,0.731436509025993,0.89934802421456,0.89934802421456,0.972430660332426,1,0.731436514035625,0.731436514035625,0.731436509025993,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
"Pan_paniscus",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.881481167795822,0.881481167795822,0.731436514035625,0.731436514035625,0.731436514035625,0.731436514035625,1,0.968034842066392,0.968034835436291,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
"Pan_troglodytes_schweinfurthii",0.589058081207971,0.589058085242448,0.589058081207971,0,0,0,0,0,0,0,0,0,0.358768688165741,0.358768688165741,0.358768688165741,0.358768685708523,0.358768685708523,0.358768685708523,0.358768685708523,0.881481167795822,0.881481167795822,0.731436514035625,0.731436514035625,0.731436514035625,0.731436514035625,0.968034842066392,1,0.985186605674394,0.358768688165741,0.358768688165741,0.358768685708523,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058085242448,0.589058077173493,0.589058081207971,0.589058081207971,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058085242448,0.589058081207971,0.589058085242448,0.589058081207971,0.589058081207971,0.589058077173493,0.589058077173493,0.0570248475410643
